video_id,sentence_id,signer_id,sentence_text,sentence_length,fps,resolution,video_path,split
can you repeat that please (5).MP4,can you repeat that please,4,can you repeat that please,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (5).MP4,train
can you repeat that please (6).MP4,can you repeat that please,5,can you repeat that please,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (6).MP4,train
can you repeat that please (7).mp4,can you repeat that please,6,can you repeat that please,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (7).mp4,val
can you repeat that please (8).mp4,can you repeat that please,7,can you repeat that please,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\can you repeat that please\can you repeat that please (8).mp4,test
comb (2).MP4,comb your hair,1,comb your hair,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (2).MP4,train
comb (3).MP4,comb your hair,2,comb your hair,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (3).MP4,train
comb (4).MP4,comb your hair,3,comb your hair,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (4).MP4,train
comb (5).MP4,comb your hair,4,comb your hair,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb (5).MP4,train
comb your hair (2).mp4,comb your hair,5,comb your hair,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb your hair (2).mp4,train
comb your hair.mp4,comb your hair,6,comb your hair,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb your hair.mp4,val
comb.MP4,comb your hair,7,comb your hair,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\comb your hair\comb.MP4,test
congratulations (2).mp4,congratulations,1,congratulations,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (2).mp4,train
congratulations (3).MP4,congratulations,2,congratulations,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (3).MP4,train
congratulations (4).MP4,congratulations,3,congratulations,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (4).MP4,train
congratulations (5).MP4,congratulations,4,congratulations,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (5).MP4,train
congratulations (6).MP4,congratulations,5,congratulations,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (6).MP4,train
congratulations (7).MP4,congratulations,6,congratulations,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations (7).MP4,val
congratulations.mp4,congratulations,7,congratulations,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\congratulations\congratulations.mp4,test
could you please talk slower (1).mp4,could you please talk slower,1,could you please talk slower,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (1).mp4,train
could you please talk slower (2).mp4,could you please talk slower,2,could you please talk slower,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (2).mp4,train
could you please talk slower (3).MP4,could you please talk slower,3,could you please talk slower,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (3).MP4,train
could you please talk slower (4).MP4,could you please talk slower,4,could you please talk slower,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (4).MP4,train
could you please talk slower (5).MP4,could you please talk slower,5,could you please talk slower,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (5).MP4,train
could you please talk slower (6).MP4,could you please talk slower,6,could you please talk slower,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (6).MP4,val
could you please talk slower (7).MP4,could you please talk slower,7,could you please talk slower,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\could you please talk slower\could you please talk slower (7).MP4,test
do me a favour (2).mp4,do me a favour,1,do me a favour,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\do me a favour (2).mp4,train
do me a favour.mp4,do me a favour,2,do me a favour,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\do me a favour.mp4,train
favour (2).MP4,do me a favour,3,do me a favour,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (2).MP4,train
favour (3).MP4,do me a favour,4,do me a favour,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (3).MP4,train
favour (4).MP4,do me a favour,5,do me a favour,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (4).MP4,train
favour (5).MP4,do me a favour,6,do me a favour,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour (5).MP4,val
favour.MP4,do me a favour,7,do me a favour,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do me a favour\favour.MP4,test
abuse (2).MP4,do not abuse him,1,do not abuse him,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse (2).MP4,train
abuse (3).MP4,do not abuse him,2,do not abuse him,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse (3).MP4,train
abuse (4).MP4,do not abuse him,3,do not abuse him,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse (4).MP4,train
abuse.MP4,do not abuse him,4,do not abuse him,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\abuse.MP4,train
do not abuse him (2).mp4,do not abuse him,5,do not abuse him,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\do not abuse him (2).mp4,train
do not abuse him.mp4,do not abuse him,6,do not abuse him,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not abuse him\do not abuse him.mp4,val
do not be stubborn (2).mp4,do not be stubborn,1,do not be stubborn,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\do not be stubborn (2).mp4,train
do not be stubborn.mp4,do not be stubborn,2,do not be stubborn,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\do not be stubborn.mp4,train
stubborn (2).MP4,do not be stubborn,3,do not be stubborn,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (2).MP4,train
stubborn (3).MP4,do not be stubborn,4,do not be stubborn,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (3).MP4,train
stubborn (4).MP4,do not be stubborn,5,do not be stubborn,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn (4).MP4,train
stubborn.MP4,do not be stubborn,6,do not be stubborn,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not be stubborn\stubborn.MP4,val
do not hurt me (2).mp4,do not hurt me,1,do not hurt me ,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\do not hurt me (2).mp4,train
do not hurt me.mp4,do not hurt me,2,do not hurt me ,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\do not hurt me.mp4,train
hurt me (2).MP4,do not hurt me,3,do not hurt me ,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\hurt me (2).MP4,train
hurt me (3).MP4,do not hurt me,4,do not hurt me ,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\hurt me (3).MP4,train
hurt me (4).MP4,do not hurt me,5,do not hurt me ,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\hurt me (4).MP4,train
hurt me.MP4,do not hurt me,6,do not hurt me ,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\hurt me.MP4,val
hurt.MP4,do not hurt me,7,do not hurt me ,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not hurt me\hurt.MP4,test
do not make me angry (2).mp4,do not make me angry,1,do not make me angry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\do not make me angry (2).mp4,train
do not make me angry.mp4,do not make me angry,2,do not make me angry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\do not make me angry.mp4,train
me angry (2).MP4,do not make me angry,3,do not make me angry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (2).MP4,train
me angry (3).MP4,do not make me angry,4,do not make me angry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (3).MP4,train
me angry (4).MP4,do not make me angry,5,do not make me angry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (4).MP4,train
me angry (5).MP4,do not make me angry,6,do not make me angry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry (5).MP4,val
me angry.MP4,do not make me angry,7,do not make me angry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not make me angry\me angry.MP4,test
do not take it to the heart (2).mp4,do not take it to the heart,1,do not take it to the heart,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\do not take it to the heart (2).mp4,train
do not take it to the heart.mp4,do not take it to the heart,2,do not take it to the heart,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\do not take it to the heart.mp4,train
heart (2).MP4,do not take it to the heart,3,do not take it to the heart,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart (2).MP4,train
heart (3).MP4,do not take it to the heart,4,do not take it to the heart,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart (3).MP4,train
heart (4).MP4,do not take it to the heart,5,do not take it to the heart,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart (4).MP4,train
heart (5).MP4,do not take it to the heart,6,do not take it to the heart,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart (5).MP4,val
heart.MP4,do not take it to the heart,7,do not take it to the heart,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not take it to the heart\heart.MP4,test
MVI_6633.MP4,do not worry,1,do not worry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\MVI_6633.MP4,train
do not worry (2).mp4,do not worry,2,do not worry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\do not worry (2).mp4,train
do not worry.mp4,do not worry,3,do not worry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\do not worry.mp4,train
worry (2).MP4,do not worry,4,do not worry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry (2).MP4,train
worry (3).MP4,do not worry,5,do not worry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry (3).MP4,train
worry (4).MP4,do not worry,6,do not worry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry (4).MP4,val
worry.MP4,do not worry,7,do not worry,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do not worry\worry.MP4,test
do you need something (2).mp4,do you need something,1,do you need something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\do you need something (2).mp4,train
do you need something.mp4,do you need something,2,do you need something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\do you need something.mp4,train
need something (2).MP4,do you need something,3,do you need something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\need something (2).MP4,train
need something.MP4,do you need something,4,do you need something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\need something.MP4,train
something (2).MP4,do you need something,5,do you need something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\something (2).MP4,train
something (3).MP4,do you need something,6,do you need something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\something (3).MP4,val
something.MP4,do you need something,7,do you need something,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\do you need something\something.MP4,test
go and sleep (2).mp4,go and sleep,1,go and sleep,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\go and sleep (2).mp4,train
go and sleep.mp4,go and sleep,2,go and sleep,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\go and sleep.mp4,train
sleep (2).MP4,go and sleep,3,go and sleep,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (2).MP4,train
sleep (3).MP4,go and sleep,4,go and sleep,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (3).MP4,train
sleep (4).MP4,go and sleep,5,go and sleep,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (4).MP4,train
sleep (5).MP4,go and sleep,6,go and sleep,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (5).MP4,val
sleep (6).MP4,go and sleep,7,go and sleep,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep (6).MP4,test
sleep.MP4,go and sleep,1,go and sleep,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\go and sleep\sleep.MP4,train
food (2).MP4,had your food,1,had your food,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (2).MP4,train
food (3).MP4,had your food,2,had your food,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (3).MP4,train
food (4).MP4,had your food,3,had your food,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (4).MP4,train
food (5).MP4,had your food,4,had your food,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food (5).MP4,train
food.MP4,had your food,5,had your food,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\food.MP4,train
had your food (2).mp4,had your food,6,had your food,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\had your food (2).mp4,val
had your food.mp4,had your food,7,had your food,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\had your food\had your food.mp4,test
he came by train (2).mp4,he came by train,1,he came by train,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\he came by train (2).mp4,train
he came by train.mp4,he came by train,2,he came by train,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\he came by train.mp4,train
train (2).MP4,he came by train,3,he came by train,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (2).MP4,train
train (3).MP4,he came by train,4,he came by train,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (3).MP4,train
train (4).MP4,he came by train,5,he came by train,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (4).MP4,train
train (5).MP4,he came by train,6,he came by train,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train (5).MP4,val
train.MP4,he came by train,7,he came by train,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he came by train\train.MP4,test
he is on the way (2).mp4,he is on the way,1,he is on the way,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he is on the way\he is on the way (2).mp4,train
he is on the way.mp4,he is on the way,2,he is on the way,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he is on the way\he is on the way.mp4,train
way (2).MP4,he is on the way,3,he is on the way,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he is on the way\way (2).MP4,train
way (3).MP4,he is on the way,4,he is on the way,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he is on the way\way (3).MP4,train
way (4).MP4,he is on the way,5,he is on the way,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he is on the way\way (4).MP4,train
way.MP4,he is on the way,6,he is on the way,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he is on the way\way.MP4,val
MVI_6500.MP4,he she is my friend,1,he she is my friend,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\MVI_6500.MP4,train
friend (2).MP4,he she is my friend,2,he she is my friend,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\friend (2).MP4,train
friend (3).MP4,he she is my friend,3,he she is my friend,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\friend (3).MP4,train
friend (4).MP4,he she is my friend,4,he she is my friend,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\friend (4).MP4,train
friend.MP4,he she is my friend,5,he she is my friend,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\friend.MP4,train
heshe is my friend.mp4,he she is my friend,6,he she is my friend,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\heshe is my friend.mp4,val
she is my friend.mp4,he she is my friend,7,he she is my friend,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he she is my friend\she is my friend.mp4,test
he would be coming today (2).mp4,he would be coming today,1,he would be coming today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\he would be coming today (2).mp4,train
he would be coming today.mp4,he would be coming today,2,he would be coming today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\he would be coming today.mp4,train
today (2).MP4,he would be coming today,3,he would be coming today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\today (2).MP4,train
today (3).MP4,he would be coming today,4,he would be coming today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\today (3).MP4,train
today (4).MP4,he would be coming today,5,he would be coming today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\today (4).MP4,train
today (5).MP4,he would be coming today,6,he would be coming today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\today (5).MP4,val
today.MP4,he would be coming today,7,he would be coming today,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\he would be coming today\today.MP4,test
help me (1).MP4,help me,1,help me,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\help me\help me (1).MP4,train
help me (3).MP4,help me,2,help me,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\help me\help me (3).MP4,train
help me (4).MP4,help me,3,help me,,,,D:\ISL2\ISL_CSLRT_Corpus\Videos_Sentence_Level\help me\help me (4).MP4,train
