image_path,label
dataset/train_aug\AFRAID\aug_18.jpg,AFRAID
dataset/train_aug\AFRAID\aug_19.jpg,AFRAID
dataset/train_aug\AFRAID\aug_20.jpg,AFRAID
dataset/train_aug\AFRAID\aug_21.jpg,AFRAID
dataset/train_aug\AFRAID\aug_22.jpg,AFRAID
dataset/train_aug\AFRAID\aug_23.jpg,AFRAID
dataset/train_aug\AFRAID\aug_24.jpg,AFRAID
dataset/train_aug\AFRAID\aug_25.jpg,AFRAID
dataset/train_aug\AFRAID\aug_26.jpg,AFRAID
dataset/train_aug\AFRAID\aug_27.jpg,AFRAID
dataset/train_aug\AFRAID\aug_28.jpg,AFRAID
dataset/train_aug\AFRAID\aug_29.jpg,AFRAID
dataset/train_aug\AFRAID\aug_30.jpg,AFRAID
dataset/train_aug\AFRAID\aug_31.jpg,AFRAID
dataset/train_aug\AFRAID\aug_32.jpg,AFRAID
dataset/train_aug\AFRAID\aug_33.jpg,AFRAID
dataset/train_aug\AFRAID\aug_34.jpg,AFRAID
dataset/train_aug\AFRAID\aug_35.jpg,AFRAID
dataset/train_aug\AFRAID\aug_36.jpg,AFRAID
dataset/train_aug\AFRAID\aug_37.jpg,AFRAID
dataset/train_aug\AFRAID\aug_38.jpg,AFRAID
dataset/train_aug\AFRAID\aug_39.jpg,AFRAID
dataset/train_aug\AFRAID\aug_40.jpg,AFRAID
dataset/train_aug\AFRAID\aug_41.jpg,AFRAID
dataset/train_aug\AFRAID\aug_42.jpg,AFRAID
dataset/train_aug\AFRAID\aug_43.jpg,AFRAID
dataset/train_aug\AFRAID\aug_44.jpg,AFRAID
dataset/train_aug\AFRAID\aug_45.jpg,AFRAID
dataset/train_aug\AFRAID\aug_46.jpg,AFRAID
dataset/train_aug\AFRAID\aug_47.jpg,AFRAID
dataset/train_aug\AFRAID\aug_48.jpg,AFRAID
dataset/train_aug\AFRAID\aug_49.jpg,AFRAID
dataset/train_aug\AGREE\orig_AGREE (1).jpg,AGREE
dataset/train_aug\AGREE\orig_AGREE (2).jpg,AGREE
dataset/train_aug\AGREE\orig_AGREE (4).jpg,AGREE
dataset/train_aug\AGREE\orig_AGREE (5).jpg,AGREE
dataset/train_aug\AGREE\orig_AGREE (6).jpg,AGREE
dataset/train_aug\AGREE\aug_5.jpg,AGREE
dataset/train_aug\AGREE\aug_6.jpg,AGREE
dataset/train_aug\AGREE\aug_7.jpg,AGREE
dataset/train_aug\AGREE\aug_8.jpg,AGREE
dataset/train_aug\AGREE\aug_9.jpg,AGREE
dataset/train_aug\AGREE\aug_10.jpg,AGREE
dataset/train_aug\AGREE\aug_11.jpg,AGREE
dataset/train_aug\AGREE\aug_12.jpg,AGREE
dataset/train_aug\AGREE\aug_13.jpg,AGREE
dataset/train_aug\AGREE\aug_14.jpg,AGREE
dataset/train_aug\AGREE\aug_15.jpg,AGREE
dataset/train_aug\AGREE\aug_16.jpg,AGREE
dataset/train_aug\AGREE\aug_17.jpg,AGREE
dataset/train_aug\AGREE\aug_18.jpg,AGREE
dataset/train_aug\AGREE\aug_19.jpg,AGREE
dataset/train_aug\AGREE\aug_20.jpg,AGREE
dataset/train_aug\AGREE\aug_21.jpg,AGREE
dataset/train_aug\AGREE\aug_22.jpg,AGREE
dataset/train_aug\AGREE\aug_23.jpg,AGREE
dataset/train_aug\AGREE\aug_24.jpg,AGREE
dataset/train_aug\AGREE\aug_25.jpg,AGREE
dataset/train_aug\AGREE\aug_26.jpg,AGREE
dataset/train_aug\AGREE\aug_27.jpg,AGREE
dataset/train_aug\AGREE\aug_28.jpg,AGREE
dataset/train_aug\AGREE\aug_29.jpg,AGREE
dataset/train_aug\AGREE\aug_30.jpg,AGREE
dataset/train_aug\AGREE\aug_31.jpg,AGREE
dataset/train_aug\AGREE\aug_32.jpg,AGREE
dataset/train_aug\AGREE\aug_33.jpg,AGREE
dataset/train_aug\AGREE\aug_34.jpg,AGREE
dataset/train_aug\AGREE\aug_35.jpg,AGREE
dataset/train_aug\AGREE\aug_36.jpg,AGREE
dataset/train_aug\AGREE\aug_37.jpg,AGREE
dataset/train_aug\AGREE\aug_38.jpg,AGREE
dataset/train_aug\AGREE\aug_39.jpg,AGREE
dataset/train_aug\AGREE\aug_40.jpg,AGREE
dataset/train_aug\AGREE\aug_41.jpg,AGREE
dataset/train_aug\AGREE\aug_42.jpg,AGREE
dataset/train_aug\AGREE\aug_43.jpg,AGREE
dataset/train_aug\AGREE\aug_44.jpg,AGREE
dataset/train_aug\AGREE\aug_45.jpg,AGREE
dataset/train_aug\AGREE\aug_46.jpg,AGREE
dataset/train_aug\AGREE\aug_47.jpg,AGREE
dataset/train_aug\AGREE\aug_48.jpg,AGREE
dataset/train_aug\AGREE\aug_49.jpg,AGREE
dataset/train_aug\ALL\orig_ALL (1).jpg,ALL
dataset/train_aug\ALL\orig_ALL (3).jpg,ALL
dataset/train_aug\ALL\orig_ALL (4).jpg,ALL
dataset/train_aug\ALL\aug_3.jpg,ALL
dataset/train_aug\ALL\aug_4.jpg,ALL
dataset/train_aug\ALL\aug_5.jpg,ALL
dataset/train_aug\ALL\aug_6.jpg,ALL
dataset/train_aug\ALL\aug_7.jpg,ALL
dataset/train_aug\ALL\aug_8.jpg,ALL
dataset/train_aug\ALL\aug_9.jpg,ALL
dataset/train_aug\ALL\aug_10.jpg,ALL
dataset/train_aug\ALL\aug_11.jpg,ALL
dataset/train_aug\ALL\aug_12.jpg,ALL
dataset/train_aug\ALL\aug_13.jpg,ALL
dataset/train_aug\ALL\aug_14.jpg,ALL
dataset/train_aug\ALL\aug_15.jpg,ALL
dataset/train_aug\ALL\aug_16.jpg,ALL
dataset/train_aug\ALL\aug_17.jpg,ALL
dataset/train_aug\ALL\aug_18.jpg,ALL
dataset/train_aug\ALL\aug_19.jpg,ALL
dataset/train_aug\ALL\aug_20.jpg,ALL
dataset/train_aug\ALL\aug_21.jpg,ALL
dataset/train_aug\ALL\aug_22.jpg,ALL
dataset/train_aug\ALL\aug_23.jpg,ALL
dataset/train_aug\ALL\aug_24.jpg,ALL
dataset/train_aug\ALL\aug_25.jpg,ALL
dataset/train_aug\ALL\aug_26.jpg,ALL
dataset/train_aug\ALL\aug_27.jpg,ALL
dataset/train_aug\ALL\aug_28.jpg,ALL
dataset/train_aug\ALL\aug_29.jpg,ALL
dataset/train_aug\ALL\aug_30.jpg,ALL
dataset/train_aug\ALL\aug_31.jpg,ALL
dataset/train_aug\ALL\aug_32.jpg,ALL
dataset/train_aug\ALL\aug_33.jpg,ALL
dataset/train_aug\ALL\aug_34.jpg,ALL
dataset/train_aug\ALL\aug_35.jpg,ALL
dataset/train_aug\ALL\aug_36.jpg,ALL
dataset/train_aug\ALL\aug_37.jpg,ALL
dataset/train_aug\ALL\aug_38.jpg,ALL
dataset/train_aug\ALL\aug_39.jpg,ALL
dataset/train_aug\ALL\aug_40.jpg,ALL
dataset/train_aug\ALL\aug_41.jpg,ALL
dataset/train_aug\ALL\aug_42.jpg,ALL
dataset/train_aug\ALL\aug_43.jpg,ALL
dataset/train_aug\ALL\aug_44.jpg,ALL
dataset/train_aug\ALL\aug_45.jpg,ALL
dataset/train_aug\ALL\aug_46.jpg,ALL
dataset/train_aug\ALL\aug_47.jpg,ALL
dataset/train_aug\ALL\aug_48.jpg,ALL
dataset/train_aug\ALL\aug_49.jpg,ALL
dataset/train_aug\ANGRY\orig_ANGRY (1).jpg,ANGRY
dataset/train_aug\ANGRY\orig_ANGRY (10).jpg,ANGRY
dataset/train_aug\ANGRY\orig_ANGRY (2).jpg,ANGRY
dataset/train_aug\ANGRY\orig_ANGRY (3).jpg,ANGRY
dataset/train_aug\ANGRY\orig_ANGRY (4).jpg,ANGRY
dataset/train_aug\ANGRY\orig_ANGRY (5).jpg,ANGRY
dataset/train_aug\ANGRY\orig_ANGRY (7).jpg,ANGRY
dataset/train_aug\ANGRY\orig_ANGRY (8).jpg,ANGRY
dataset/train_aug\ANGRY\aug_8.jpg,ANGRY
dataset/train_aug\ANGRY\aug_9.jpg,ANGRY
dataset/train_aug\ANGRY\aug_10.jpg,ANGRY
dataset/train_aug\ANGRY\aug_11.jpg,ANGRY
dataset/train_aug\ANGRY\aug_12.jpg,ANGRY
dataset/train_aug\ANGRY\aug_13.jpg,ANGRY
dataset/train_aug\ANGRY\aug_14.jpg,ANGRY
dataset/train_aug\ANGRY\aug_15.jpg,ANGRY
dataset/train_aug\ANGRY\aug_16.jpg,ANGRY
dataset/train_aug\ANGRY\aug_17.jpg,ANGRY
dataset/train_aug\ANGRY\aug_18.jpg,ANGRY
dataset/train_aug\ANGRY\aug_19.jpg,ANGRY
dataset/train_aug\ANGRY\aug_20.jpg,ANGRY
dataset/train_aug\ANGRY\aug_21.jpg,ANGRY
dataset/train_aug\ANGRY\aug_22.jpg,ANGRY
dataset/train_aug\ANGRY\aug_23.jpg,ANGRY
dataset/train_aug\ANGRY\aug_24.jpg,ANGRY
dataset/train_aug\ANGRY\aug_25.jpg,ANGRY
dataset/train_aug\ANGRY\aug_26.jpg,ANGRY
dataset/train_aug\ANGRY\aug_27.jpg,ANGRY
dataset/train_aug\ANGRY\aug_28.jpg,ANGRY
dataset/train_aug\ANGRY\aug_29.jpg,ANGRY
dataset/train_aug\ANGRY\aug_30.jpg,ANGRY
dataset/train_aug\ANGRY\aug_31.jpg,ANGRY
dataset/train_aug\ANGRY\aug_32.jpg,ANGRY
dataset/train_aug\ANGRY\aug_33.jpg,ANGRY
dataset/train_aug\ANGRY\aug_34.jpg,ANGRY
dataset/train_aug\ANGRY\aug_35.jpg,ANGRY
dataset/train_aug\ANGRY\aug_36.jpg,ANGRY
dataset/train_aug\ANGRY\aug_37.jpg,ANGRY
dataset/train_aug\ANGRY\aug_38.jpg,ANGRY
dataset/train_aug\ANGRY\aug_39.jpg,ANGRY
dataset/train_aug\ANGRY\aug_40.jpg,ANGRY
dataset/train_aug\ANGRY\aug_41.jpg,ANGRY
dataset/train_aug\ANGRY\aug_42.jpg,ANGRY
dataset/train_aug\ANGRY\aug_43.jpg,ANGRY
dataset/train_aug\ANGRY\aug_44.jpg,ANGRY
dataset/train_aug\ANGRY\aug_45.jpg,ANGRY
dataset/train_aug\ANGRY\aug_46.jpg,ANGRY
dataset/train_aug\ANGRY\aug_47.jpg,ANGRY
dataset/train_aug\ANGRY\aug_48.jpg,ANGRY
dataset/train_aug\ANGRY\aug_49.jpg,ANGRY
dataset/train_aug\ANYTHING\orig_ANYTHING (1).jpg,ANYTHING
dataset/train_aug\ANYTHING\orig_ANYTHING (3).jpg,ANYTHING
dataset/train_aug\ANYTHING\orig_ANYTHING (4).jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_3.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_4.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_5.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_6.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_7.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_8.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_9.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_10.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_11.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_12.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_13.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_14.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_15.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_16.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_17.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_18.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_19.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_20.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_21.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_22.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_23.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_24.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_25.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_26.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_27.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_28.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_29.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_30.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_31.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_32.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_33.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_34.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_35.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_36.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_37.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_38.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_39.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_40.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_41.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_42.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_43.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_44.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_45.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_46.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_47.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_48.jpg,ANYTHING
dataset/train_aug\ANYTHING\aug_49.jpg,ANYTHING
dataset/train_aug\APPRECIATE\orig_APPRECIATE (1).jpg,APPRECIATE
dataset/train_aug\APPRECIATE\orig_APPRECIATE (2).jpg,APPRECIATE
dataset/train_aug\APPRECIATE\orig_APPRECIATE (3).jpg,APPRECIATE
dataset/train_aug\APPRECIATE\orig_APPRECIATE (5).jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_4.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_5.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_6.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_7.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_8.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_9.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_10.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_11.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_12.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_13.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_14.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_15.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_16.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_17.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_18.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_19.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_20.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_21.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_22.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_23.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_24.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_25.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_26.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_27.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_28.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_29.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_30.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_31.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_32.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_33.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_34.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_35.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_36.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_37.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_38.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_39.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_40.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_41.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_42.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_43.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_44.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_45.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_46.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_47.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_48.jpg,APPRECIATE
dataset/train_aug\APPRECIATE\aug_49.jpg,APPRECIATE
dataset/train_aug\BAD\orig_BAD (1).jpg,BAD
dataset/train_aug\BAD\orig_BAD (2).jpg,BAD
dataset/train_aug\BAD\orig_BAD (3).jpg,BAD
dataset/train_aug\BAD\orig_BAD (5).jpg,BAD
dataset/train_aug\BAD\aug_4.jpg,BAD
dataset/train_aug\BAD\aug_5.jpg,BAD
dataset/train_aug\BAD\aug_6.jpg,BAD
dataset/train_aug\BAD\aug_7.jpg,BAD
dataset/train_aug\BAD\aug_8.jpg,BAD
dataset/train_aug\BAD\aug_9.jpg,BAD
dataset/train_aug\BAD\aug_10.jpg,BAD
dataset/train_aug\BAD\aug_11.jpg,BAD
dataset/train_aug\BAD\aug_12.jpg,BAD
dataset/train_aug\BAD\aug_13.jpg,BAD
dataset/train_aug\BAD\aug_14.jpg,BAD
dataset/train_aug\BAD\aug_15.jpg,BAD
dataset/train_aug\BAD\aug_16.jpg,BAD
dataset/train_aug\BAD\aug_17.jpg,BAD
dataset/train_aug\BAD\aug_18.jpg,BAD
dataset/train_aug\BAD\aug_19.jpg,BAD
dataset/train_aug\BAD\aug_20.jpg,BAD
dataset/train_aug\BAD\aug_21.jpg,BAD
dataset/train_aug\BAD\aug_22.jpg,BAD
dataset/train_aug\BAD\aug_23.jpg,BAD
dataset/train_aug\BAD\aug_24.jpg,BAD
dataset/train_aug\BAD\aug_25.jpg,BAD
dataset/train_aug\BAD\aug_26.jpg,BAD
dataset/train_aug\BAD\aug_27.jpg,BAD
dataset/train_aug\BAD\aug_28.jpg,BAD
dataset/train_aug\BAD\aug_29.jpg,BAD
dataset/train_aug\BAD\aug_30.jpg,BAD
dataset/train_aug\BAD\aug_31.jpg,BAD
dataset/train_aug\BAD\aug_32.jpg,BAD
dataset/train_aug\BAD\aug_33.jpg,BAD
dataset/train_aug\BAD\aug_34.jpg,BAD
dataset/train_aug\BAD\aug_35.jpg,BAD
dataset/train_aug\BAD\aug_36.jpg,BAD
dataset/train_aug\BAD\aug_37.jpg,BAD
dataset/train_aug\BAD\aug_38.jpg,BAD
dataset/train_aug\BAD\aug_39.jpg,BAD
dataset/train_aug\BAD\aug_40.jpg,BAD
dataset/train_aug\BAD\aug_41.jpg,BAD
dataset/train_aug\BAD\aug_42.jpg,BAD
dataset/train_aug\BAD\aug_43.jpg,BAD
dataset/train_aug\BAD\aug_44.jpg,BAD
dataset/train_aug\BAD\aug_45.jpg,BAD
dataset/train_aug\BAD\aug_46.jpg,BAD
dataset/train_aug\BAD\aug_47.jpg,BAD
dataset/train_aug\BAD\aug_48.jpg,BAD
dataset/train_aug\BAD\aug_49.jpg,BAD
dataset/train_aug\BEAUTIFUL\orig_BEAUTIFUL (2).jpg,BEAUTIFUL
dataset/train_aug\BEAUTIFUL\orig_BEAUTIFUL (3).jpg,BEAUTIFUL
dataset/train_aug\BEAUTIFUL\orig_BEAUTIFUL (4).jpg,BEAUTIFUL
dataset/train_aug\BEAUTIFUL\orig_BEAUTIFUL (5).jpg,BEAUTIFUL
dataset/train_aug\BEAUTIFUL\aug_4.jpg,BEAUTIFUL
dataset/train_aug\BEAUTIFUL\aug_5.jpg,BEAUTIFUL
dataset/train_aug\BEAUTIFUL\aug_6.jpg,BEAUTIFUL
dataset/train_aug\BEAUTIFUL\aug_7.jpg,BEAUTIFUL
dataset/train_aug\BEAUTIFUL\aug_8.jpg,BEAUTIFUL
dataset/train_aug\BEAUTIFUL\aug_9.jpg,BEAUTIFUL
dataset/train_aug\BEAUTIFUL\aug_10.jpg,BEAUTIFUL
dataset/train_aug\BEAUTIFUL\aug_11.jpg,BEAUTIFUL
dataset/train_aug\BEAUTIFUL\aug_12.jpg,BEAUTIFUL
